pump_l	pow_lin	freq_qu	Ic	Qc
1.000000000000000056e-01	1.000000000000000021e-02	3.503039999999999932e+00	-6.393955259546403244e-03	9.904938801006325788e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.503200000000000092e+00	-6.299340407394228222e-03	9.993368021698497902e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.503359999999999808e+00	-6.389764885992172024e-03	9.684143527569260071e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.503519999999999968e+00	-6.303915743592121250e-03	1.023323510345956408e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.503680000000000128e+00	-5.978642905848474513e-03	9.677083432240276076e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.503839999999999844e+00	-6.310955168723983606e-03	9.961980153870125462e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.504000000000000004e+00	-6.039622180145241305e-03	9.889704638133899051e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.504160000000000164e+00	-6.320040507352151470e-03	1.020786515886193922e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.504319999999999879e+00	-6.265362016721596344e-03	1.038495411448050500e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.504480000000000040e+00	-5.918441451215093047e-03	9.745329112943490121e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.504640000000000200e+00	-6.094271486856903813e-03	9.883759480806041456e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.504799999999999915e+00	-6.379755353834473848e-03	9.954710712629780134e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.504960000000000075e+00	-6.065696457157905043e-03	9.973141943133985443e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.505119999999999791e+00	-6.182990126578244601e-03	9.402154132088421171e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.505279999999999951e+00	-6.169074761664138963e-03	9.736660956703255959e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.505440000000000111e+00	-6.484683923196449609e-03	9.924503804651811645e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.505599999999999827e+00	-5.818001511739522881e-03	9.500105413553004349e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.505759999999999987e+00	-6.332049621600023374e-03	9.803713629647981681e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.505920000000000147e+00	-6.520536471467501712e-03	9.617906507969842256e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.506079999999999863e+00	-5.908689520199201378e-03	9.619439288827242099e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.506240000000000023e+00	-6.390391474867796601e-03	9.895586914189633335e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.506400000000000183e+00	-6.454986905617450185e-03	9.269260533972003419e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.506559999999999899e+00	-6.533488231321953402e-03	1.009233817563207070e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.506720000000000059e+00	-6.613064089676483348e-03	1.004602326295557860e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.506880000000000219e+00	-6.229848116157219763e-03	1.006765408258649373e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.507039999999999935e+00	-6.188622253828273030e-03	9.904827261997010621e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.507200000000000095e+00	-6.144320305496536044e-03	9.717046139358758924e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.507359999999999811e+00	-6.406837691044728680e-03	9.951905626550714562e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.507519999999999971e+00	-7.066622713305686053e-03	9.839680757295738225e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.507680000000000131e+00	-6.647409967394444889e-03	9.421531050239836946e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.507839999999999847e+00	-6.528112738633498960e-03	9.963227946395964915e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.508000000000000007e+00	-6.222575850422084470e-03	9.685668086154595319e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.508160000000000167e+00	-6.409892427949944078e-03	1.021912029948389422e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.508319999999999883e+00	-6.194422227704074121e-03	9.895267013201935330e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.508480000000000043e+00	-6.230040045770520243e-03	9.974277271168943346e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.508640000000000203e+00	-6.095239333118398876e-03	9.821054890243192600e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.508799999999999919e+00	-5.923445371969895262e-03	9.650400868017931788e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.508960000000000079e+00	-5.791616933366770456e-03	9.802286742351886892e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.509119999999999795e+00	-6.163612945684262406e-03	9.318704157477805672e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.509279999999999955e+00	-6.055822866130128324e-03	9.687314607146762374e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.509440000000000115e+00	-6.557012663169246164e-03	9.679475277847827963e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.509599999999999831e+00	-6.351873286739329397e-03	9.570386286336104303e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.509759999999999991e+00	-6.341199114070245058e-03	9.747486287654972409e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.509920000000000151e+00	-6.357214599101273719e-03	9.872493815179014115e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.510079999999999867e+00	-6.325915862346855913e-03	9.900931685170500166e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.510240000000000027e+00	-6.189459515946623552e-03	9.448450404535124747e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.510400000000000187e+00	-6.431809631202769877e-03	9.911630177230035602e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.510559999999999903e+00	-6.165074197072358854e-03	9.819057867773647169e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.510720000000000063e+00	-5.609501450477123730e-03	1.017265871808847692e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.510879999999999779e+00	-6.147471919900387473e-03	1.049883232023972671e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.511039999999999939e+00	-6.294538581236053774e-03	9.675408577041041611e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.511200000000000099e+00	-6.474234167423834931e-03	9.826332402709169953e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.511359999999999815e+00	-6.105758082997280248e-03	9.831346901082118131e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.511519999999999975e+00	-6.274729363398826379e-03	9.912856454145569512e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.511680000000000135e+00	-5.893659160737397228e-03	1.020483130299566429e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.511839999999999851e+00	-6.274301646310445624e-03	9.833266222867375825e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.512000000000000011e+00	-6.159921409388245152e-03	1.018524302740127750e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.512160000000000171e+00	-5.896140063222584521e-03	9.863865197333971518e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.512319999999999887e+00	-6.380684008323382964e-03	1.018602415421413464e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.512480000000000047e+00	-6.238310215664359150e-03	1.006189018584972145e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.512640000000000207e+00	-6.238189505297958744e-03	9.945567894429767006e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.512799999999999923e+00	-6.108744423314986516e-03	9.826493409757273631e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.512960000000000083e+00	-6.303435725702476004e-03	9.936234051942851447e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.513119999999999798e+00	-5.963563315843925516e-03	9.657467543537277127e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.513279999999999959e+00	-6.077189015380170430e-03	9.914306340327189507e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.513440000000000119e+00	-6.499365290781016456e-03	9.841623300579235845e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.513599999999999834e+00	-5.988835791434402034e-03	1.023925186202669958e-02
